Division,MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HomeElo,AwayElo,OddHome,OddDraw,OddAway
SP1,2023-03-05,Vallecano,Ath Bilbao,0.0,0.0,D,1650.59,1707.28,3.04,3.13,2.53
SP1,2023-03-05,Betis,Real Madrid,0.0,0.0,D,1762.55,1951.17,4.58,3.88,1.76
SP1,2023-03-06,Osasuna,Celta,0.0,0.0,D,1674.13,1669.49,2.81,3.06,2.77
SP1,2023-03-10,Cadiz,Getafe,2.0,2.0,D,1623.01,1628.66,2.52,2.85,3.38
SP1,2023-03-11,Real Madrid,Espanol,3.0,1.0,H,1951.17,1637.77,1.26,6.0,11.6
SP1,2023-03-11,Elche,Valladolid,1.0,1.0,D,1544.6,1610.0,2.67,3.29,2.73
SP1,2023-03-11,Celta,Vallecano,3.0,0.0,H,1669.49,1650.59,2.11,3.19,3.9
SP1,2023-03-11,Valencia,Osasuna,1.0,0.0,H,1649.65,1674.13,2.1,3.2,3.89
SP1,2023-03-12,Mallorca,Sociedad,1.0,1.0,D,1639.05,1768.86,3.47,2.91,2.42
SP1,2023-03-12,Sevilla,Almeria,2.0,1.0,H,1721.93,1610.28,1.74,3.76,4.89
SP1,2023-03-12,Villarreal,Betis,1.0,1.0,D,1736.2,1762.55,1.98,3.62,3.75
SP1,2023-03-12,Ath Bilbao,Barcelona,0.0,1.0,A,1707.28,1885.42,3.49,3.34,2.18
SP1,2023-03-13,Girona,Ath Madrid,0.0,1.0,A,1632.32,1806.97,3.65,3.37,2.1
